,result,champion,d,f,mainRune,minorRune,kill,death,assist,player
317,Defeat,Samira,Heal,Flash,Conqueror,Domination,4,4,2,1
318,Victory,Tristana,Cleanse,Flash,Hail of Blades,Precision,5,2,13,1
319,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,6,1,3,1
320,Victory,Kai'Sa,Cleanse,Flash,Hail of Blades,Inspiration,13,4,3,1
321,Defeat,Tristana,Cleanse,Flash,Hail of Blades,Precision,1,5,1,1
322,Victory,Senna,Heal,Flash,Glacial Augment,Domination,7,7,11,1
323,Defeat,Viego,Teleport,Flash,Conqueror,Domination,1,6,1,1
324,Victory,Samira,Heal,Flash,Conqueror,Domination,10,12,10,1
325,Defeat,Kai'Sa,Exhaust,Flash,Hail of Blades,Inspiration,2,5,3,1
326,Defeat,Jinx,Cleanse,Flash,Lethal Tempo,Domination,7,6,7,1
327,Victory,Varus,Cleanse,Flash,Arcane Comet,Inspiration,3,1,7,1
328,Victory,Tristana,Cleanse,Flash,Hail of Blades,Precision,4,1,2,1
329,Defeat,Tristana,Cleanse,Flash,Hail of Blades,Precision,4,7,3,1
330,Victory,Aphelios,Cleanse,Flash,Conqueror,Domination,6,1,7,1
331,Defeat,Jinx,Exhaust,Flash,Conqueror,Domination,0,4,1,1
332,Defeat,Jinx,Cleanse,Flash,Lethal Tempo,Inspiration,0,8,0,1
333,Defeat,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,5,8,12,1
334,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,5,0,7,1
335,Defeat,Tristana,Heal,Flash,Hail of Blades,Precision,6,4,2,1
336,Victory,Jinx,Cleanse,Flash,Lethal Tempo,Domination,4,1,7,1
337,Victory,Jhin,Cleanse,Flash,Fleet Footwork,Sorcery,6,3,10,1
338,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,4,6,0,1
339,Victory,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,4,5,13,1
340,Victory,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,8,8,17,1
341,Defeat,Tristana,Cleanse,Flash,Hail of Blades,Precision,4,9,7,1
