,Unnamed: 0,result,champion,d,f,mainRune,minorRune,kill,death,assist,player
34,34,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,5.0,2.0,3.0,1.0
35,35,Victory,Samira,Flash,Heal,Conqueror,Domination,11.0,5.0,7.0,1.0
36,36,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,25.0,9.0,7.0,1.0
37,37,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,10.0,6.0,14.0,1.0
38,38,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,5.0,10.0,3.0,1.0
39,39,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,6.0,5.0,14.0,1.0
40,40,Victory,Vayne,Flash,Heal,Press the Attack,Domination,12.0,6.0,11.0,1.0
41,41,Victory,Zac,Flash,Smite,Aftershock,Precision,5.0,2.0,17.0,1.0
42,42,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,13.0,1.0,4.0,1.0
43,43,Defeat,Fiora,Flash,Teleport,Conqueror,Domination,1.0,8.0,6.0,1.0
44,44,Defeat,Kog'Maw,Flash,Heal,Arcane Comet,Inspiration,2.0,10.0,3.0,1.0
45,45,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,5.0,4.0,11.0,1.0
46,46,Victory,Ashe,Flash,Cleanse,Lethal Tempo,Inspiration,6.0,4.0,16.0,1.0
47,47,Defeat,Twitch,Flash,Heal,Hail of Blades,Precision,6.0,9.0,6.0,1.0
48,48,Defeat,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,2.0,8.0,6.0,1.0
49,49,Defeat,Lucian,Flash,Heal,Press the Attack,Inspiration,1.0,6.0,2.0,1.0
50,50,Remake,Kog'Maw,Flash,Heal,Arcane Comet,Inspiration,0.0,0.0,0.0,1.0
51,51,Victory,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,9.0,5.0,10.0,1.0
52,52,Defeat,Diana,Flash,Smite,Conqueror,Domination,3.0,8.0,4.0,1.0
53,53,Victory,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,13.0,2.0,8.0,1.0
54,54,Victory,Kog'Maw,Flash,Heal,Arcane Comet,Inspiration,4.0,3.0,5.0,1.0
55,55,Victory,Kog'Maw,Flash,Cleanse,Lethal Tempo,Inspiration,10.0,4.0,5.0,1.0
56,56,Defeat,Varus,Flash,Cleanse,Hail of Blades,Inspiration,5.0,7.0,6.0,1.0
57,57,Victory,Syndra,Flash,Teleport,Phase Rush,Inspiration,4.0,2.0,5.0,1.0
58,58,Victory,Jinx,Flash,Cleanse,Lethal Tempo,Domination,5.0,3.0,8.0,1.0
59,59,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,4.0,5.0,5.0,1.0
60,60,Defeat,Samira,Flash,Heal,Conqueror,Domination,7.0,9.0,18.0,1.0
61,61,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,3.0,8.0,8.0,1.0
62,62,Defeat,Kayn,Flash,Smite,Conqueror,Domination,8.0,6.0,10.0,1.0
63,63,Victory,Vayne,Flash,Heal,Press the Attack,Domination,9.0,4.0,7.0,1.0
64,64,Defeat,Vayne,Flash,Cleanse,Press the Attack,Domination,3.0,9.0,7.0,1.0
65,65,Victory,Senna,Flash,Heal,Glacial Augment,Domination,4.0,2.0,14.0,1.0
66,66,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,3.0,9.0,3.0,1.0
67,67,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,0.0,2.0,0.0,1.0
68,68,Victory,Jinx,Flash,Heal,Conqueror,Domination,8.0,8.0,13.0,1.0
69,69,Defeat,Renekton,Flash,Teleport,Press the Attack,Resolve,3.0,10.0,0.0,1.0
70,70,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,4.0,7.0,5.0,1.0
71,71,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,2.0,2.0,11.0,1.0
72,72,Victory,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,2.0,5.0,12.0,1.0
73,73,Victory,Aatrox,Flash,Teleport,Conqueror,Resolve,3.0,5.0,13.0,1.0
74,74,Victory,Samira,Flash,Heal,Conqueror,Domination,9.0,4.0,8.0,1.0
75,75,Victory,Vayne,Flash,Heal,Press the Attack,Domination,8.0,4.0,10.0,1.0
76,76,Victory,Kalista,Flash,Heal,Hail of Blades,Inspiration,7.0,6.0,17.0,1.0
77,77,Defeat,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,1.0,5.0,7.0,1.0
78,78,Victory,Cho'Gath,Flash,Teleport,Grasp of the Undying,Inspiration,4.0,2.0,5.0,1.0
79,79,Defeat,Diana,Flash,Smite,Conqueror,Domination,3.0,5.0,6.0,1.0
80,80,Victory,Ezreal,Flash,Heal,Conqueror,Inspiration,5.0,4.0,7.0,1.0
81,81,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,6.0,12.0,11.0,1.0
82,82,Victory,Samira,Flash,Heal,Conqueror,Domination,13.0,3.0,12.0,1.0
83,83,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,9.0,2.0,12.0,1.0
84,84,Victory,Vayne,Flash,Heal,Press the Attack,Domination,8.0,7.0,9.0,1.0
85,85,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,6.0,3.0,3.0,1.0
86,86,Defeat,Diana,Flash,Smite,Conqueror,Domination,4.0,3.0,8.0,1.0
87,87,Defeat,Samira,Flash,Heal,Conqueror,Domination,5.0,7.0,7.0,1.0
88,88,Defeat,Darius,Ghost,Smite,Conqueror,Sorcery,4.0,6.0,3.0,1.0
89,89,Defeat,Samira,Flash,Heal,Conqueror,Domination,2.0,7.0,0.0,1.0
90,90,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,10.0,6.0,8.0,1.0
91,91,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,1.0,7.0,6.0,1.0
92,92,Victory,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,2.0,3.0,1.0,1.0
93,93,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,9.0,4.0,13.0,1.0
94,94,Victory,Vayne,Flash,Cleanse,Press the Attack,Domination,6.0,2.0,7.0,1.0
95,95,Victory,Samira,Flash,Heal,Conqueror,Domination,13.0,7.0,13.0,1.0
96,96,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,5.0,9.0,6.0,1.0
97,97,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,9.0,4.0,8.0,1.0
98,98,Victory,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,8.0,4.0,3.0,1.0
99,99,Victory,Jinx,Flash,Heal,Conqueror,Domination,16.0,3.0,6.0,1.0
100,100,Defeat,Samira,Flash,Heal,Conqueror,Domination,3.0,6.0,0.0,1.0
101,101,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,12.0,5.0,4.0,1.0
102,102,Victory,Jinx,Flash,Heal,Conqueror,Domination,11.0,0.0,2.0,1.0
103,103,Defeat,Ezreal,Flash,Heal,Conqueror,Inspiration,4.0,9.0,6.0,1.0
104,104,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,7.0,5.0,8.0,1.0
105,105,Defeat,Poppy,Flash,Smite,Hail of Blades,Sorcery,2.0,7.0,4.0,1.0
106,106,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,1.0,7.0,8.0,1.0
107,107,Defeat,Tristana,Flash,Cleanse,Hail of Blades,Precision,1.0,7.0,5.0,1.0
108,108,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,7.0,4.0,17.0,1.0
109,109,Victory,Samira,Flash,Heal,Conqueror,Domination,3.0,3.0,5.0,1.0
110,110,Defeat,Samira,Flash,Heal,Conqueror,Domination,1.0,13.0,2.0,1.0
111,111,Victory,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,2.0,3.0,11.0,1.0
112,112,Defeat,Samira,Flash,Heal,Conqueror,Domination,1.0,11.0,9.0,1.0
113,113,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,7.0,2.0,9.0,1.0
114,114,Victory,Aphelios,Flash,Heal,Lethal Tempo,Domination,4.0,7.0,8.0,1.0
115,115,Defeat,Samira,Flash,Heal,Conqueror,Domination,10.0,8.0,7.0,1.0
116,116,Defeat,Darius,Flash,Smite,Phase Rush,Precision,3.0,5.0,6.0,1.0
117,117,Defeat,Jinx,Flash,Cleanse,Lethal Tempo,Domination,0.0,8.0,6.0,1.0
118,118,Defeat,Samira,Flash,Heal,Conqueror,Domination,0.0,4.0,0.0,1.0
119,119,Defeat,Samira,Flash,Heal,Conqueror,Domination,2.0,9.0,3.0,1.0
120,120,Defeat,Kled,Flash,Teleport,Conqueror,Resolve,2.0,6.0,2.0,1.0
121,121,Victory,Kai'Sa,Flash,Cleanse,Hail of Blades,Inspiration,9.0,4.0,9.0,1.0
122,122,Defeat,Jinx,Flash,Cleanse,Lethal Tempo,Domination,3.0,7.0,3.0,1.0
123,123,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,6.0,1.0,1.0,1.0
124,124,Defeat,Aphelios,Flash,Heal,Conqueror,Domination,5.0,12.0,10.0,1.0
125,125,Victory,Darius,Ghost,Smite,Phase Rush,Precision,9.0,4.0,10.0,1.0
126,126,Defeat,Varus,Flash,Heal,Arcane Comet,Inspiration,1.0,5.0,1.0,1.0
127,127,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,10.0,2.0,7.0,1.0
128,128,Defeat,Samira,Flash,Heal,Conqueror,Domination,1.0,8.0,10.0,1.0
129,129,Victory,Samira,Flash,Heal,Conqueror,Domination,5.0,2.0,11.0,1.0
130,130,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,12.0,7.0,7.0,1.0
131,131,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,3.0,3.0,6.0,1.0
132,132,Victory,Samira,Flash,Heal,Conqueror,Domination,15.0,7.0,6.0,1.0
133,133,Defeat,Samira,Flash,Heal,Conqueror,Domination,5.0,6.0,6.0,1.0
134,134,Victory,Vayne,Flash,Cleanse,Press the Attack,Domination,9.0,3.0,7.0,1.0
135,135,Victory,Ezreal,Flash,Heal,Conqueror,Inspiration,7.0,6.0,9.0,1.0
136,136,Defeat,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,4.0,6.0,6.0,1.0
137,137,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,4.0,9.0,8.0,1.0
138,138,Defeat,Viego,Flash,Teleport,Conqueror,Domination,3.0,7.0,4.0,1.0
139,139,Defeat,Jinx,Flash,Cleanse,Lethal Tempo,Domination,1.0,8.0,3.0,1.0
140,140,Defeat,Renekton,Flash,Teleport,Conqueror,Resolve,2.0,9.0,1.0,1.0
141,141,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,5.0,7.0,6.0,1.0
142,142,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,0.0,9.0,3.0,1.0
143,143,Defeat,Jinx,Flash,Heal,Conqueror,Domination,1.0,4.0,4.0,1.0
144,144,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,9.0,2.0,12.0,1.0
145,145,Defeat,Yorick,Flash,Teleport,Conqueror,Resolve,9.0,7.0,7.0,1.0
146,146,Defeat,Viego,Flash,Ignite,Conqueror,Domination,16.0,9.0,2.0,1.0
147,147,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,11.0,5.0,7.0,1.0
148,148,Defeat,Samira,Flash,Heal,Conqueror,Domination,4.0,10.0,2.0,1.0
149,149,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,2.0,5.0,5.0,1.0
150,150,Defeat,Lucian,Flash,Cleanse,Press the Attack,Inspiration,7.0,9.0,4.0,1.0
151,151,Victory,Aphelios,Flash,Cleanse,Conqueror,Domination,4.0,5.0,14.0,1.0
152,152,Defeat,Kalista,Flash,Heal,Hail of Blades,Inspiration,7.0,12.0,11.0,1.0
153,153,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,11.0,1.0,7.0,1.0
154,154,Defeat,Jhin,Flash,Cleanse,Fleet Footwork,Sorcery,2.0,6.0,1.0,1.0
155,155,Defeat,Darius,Ghost,Smite,Conqueror,Sorcery,11.0,7.0,3.0,1.0
156,156,Victory,Samira,Flash,Heal,Conqueror,Domination,13.0,5.0,7.0,1.0
157,157,Victory,Kayn,Flash,Smite,Dark Harvest,Sorcery,14.0,7.0,7.0,1.0
158,158,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,7.0,9.0,9.0,1.0
159,159,Victory,Aphelios,Flash,Heal,Conqueror,Domination,7.0,0.0,10.0,1.0
160,160,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,4.0,5.0,1.0,1.0
161,161,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,11.0,2.0,7.0,1.0
162,162,Victory,Darius,Ghost,Smite,Conqueror,Sorcery,3.0,2.0,10.0,1.0
163,163,Victory,Senna,Flash,Heal,Glacial Augment,Domination,5.0,4.0,8.0,1.0
164,164,Defeat,Rumble,Flash,Smite,Dark Harvest,Sorcery,5.0,12.0,9.0,1.0
165,165,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,7.0,2.0,8.0,1.0
166,166,Defeat,Jinx,Flash,Cleanse,Lethal Tempo,Domination,1.0,6.0,4.0,1.0
167,167,Defeat,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,6.0,9.0,15.0,1.0
168,168,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,9.0,5.0,8.0,1.0
169,169,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,6.0,15.0,7.0,1.0
170,170,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,9.0,5.0,7.0,1.0
171,171,Victory,Darius,Ghost,Smite,Conqueror,Sorcery,5.0,3.0,8.0,1.0
172,172,Defeat,Jhin,Flash,Heal,Fleet Footwork,Inspiration,6.0,3.0,3.0,1.0
173,173,Victory,Ezreal,Flash,Heal,Conqueror,Inspiration,9.0,2.0,3.0,1.0
174,174,Victory,Ivern,Clarity,Heal,Summon Aery,Inspiration,2.0,7.0,38.0,1.0
175,175,Victory,Samira,Flash,Heal,Conqueror,Domination,11.0,4.0,11.0,1.0
176,176,Victory,Samira,Flash,Heal,Conqueror,Domination,6.0,2.0,3.0,1.0
177,177,Victory,Aatrox,Flash,Teleport,Conqueror,Resolve,3.0,6.0,12.0,1.0
178,178,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,6.0,1.0,9.0,1.0
179,179,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,5.0,11.0,9.0,1.0
180,180,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,8.0,7.0,5.0,1.0
181,181,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,15.0,2.0,13.0,1.0
182,182,Victory,Senna,Flash,Heal,Glacial Augment,Domination,3.0,7.0,19.0,1.0
183,183,Defeat,Jhin,Flash,Heal,Fleet Footwork,Inspiration,4.0,7.0,4.0,1.0
184,184,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,7.0,5.0,4.0,1.0
185,185,Victory,Aphelios,Flash,Heal,Conqueror,Domination,2.0,5.0,5.0,1.0
186,186,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,2.0,6.0,6.0,1.0
187,187,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,3.0,10.0,0.0,1.0
188,188,Defeat,Sivir,Flash,Heal,Lethal Tempo,Inspiration,0.0,5.0,6.0,1.0
189,189,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,3.0,5.0,6.0,1.0
190,190,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,4.0,8.0,6.0,1.0
191,191,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,2.0,7.0,4.0,1.0
192,192,Defeat,Gwen,Flash,Ignite,Conqueror,Domination,22.0,9.0,6.0,1.0
193,193,Victory,Gwen,Flash,Teleport,Conqueror,Inspiration,14.0,13.0,11.0,1.0
194,194,Victory,Samira,Flash,Heal,Conqueror,Domination,7.0,0.0,1.0,1.0
195,195,Victory,Samira,Flash,Heal,Conqueror,Domination,5.0,4.0,10.0,1.0
196,196,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,9.0,7.0,9.0,1.0
197,197,Defeat,Vayne,Flash,Heal,Press the Attack,Domination,0.0,1.0,0.0,1.0
198,198,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,2.0,5.0,2.0,1.0
199,199,Victory,Samira,Flash,Heal,Conqueror,Domination,13.0,1.0,5.0,1.0
200,200,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,8.0,10.0,12.0,1.0
201,201,Defeat,Samira,Flash,Cleanse,Conqueror,Domination,4.0,6.0,3.0,1.0
202,202,Victory,Samira,Flash,Heal,Conqueror,Domination,1.0,2.0,6.0,1.0
203,203,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,19.0,2.0,11.0,1.0
204,204,Victory,Jinx,Flash,Cleanse,Lethal Tempo,Domination,6.0,3.0,3.0,1.0
205,205,Victory,Samira,Flash,Heal,Conqueror,Domination,10.0,5.0,10.0,1.0
206,206,Victory,Senna,Flash,Heal,Glacial Augment,Domination,6.0,2.0,7.0,1.0
207,207,Victory,Senna,Flash,Heal,Glacial Augment,Domination,7.0,3.0,14.0,1.0
208,208,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,7.0,0.0,10.0,1.0
209,209,Defeat,Varus,Flash,Heal,Hail of Blades,Sorcery,1.0,8.0,2.0,1.0
210,210,Victory,Senna,Flash,Heal,Glacial Augment,Domination,8.0,4.0,12.0,1.0
211,211,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,8.0,6.0,7.0,1.0
212,212,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,7.0,7.0,6.0,1.0
213,213,Defeat,Samira,Flash,Heal,Conqueror,Domination,3.0,8.0,2.0,1.0
214,214,Victory,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,1.0,8.0,13.0,1.0
215,215,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,2.0,9.0,5.0,1.0
216,216,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,11.0,6.0,5.0,1.0
217,217,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,9.0,0.0,3.0,1.0
218,218,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,8.0,5.0,3.0,1.0
219,219,Victory,Kai'Sa,Flash,Cleanse,Hail of Blades,Inspiration,16.0,4.0,9.0,1.0
220,220,Defeat,Aphelios,Flash,Heal,Conqueror,Domination,5.0,8.0,3.0,1.0
221,221,Defeat,Jinx,Flash,Heal,Conqueror,Inspiration,3.0,9.0,6.0,1.0
222,222,Victory,Twitch,Flash,Ignite,Hail of Blades,Precision,1.0,8.0,11.0,1.0
223,223,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,5.0,3.0,5.0,1.0
224,224,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,13.0,3.0,6.0,1.0
225,225,Victory,Aphelios,Flash,Heal,Conqueror,Domination,6.0,3.0,6.0,1.0
226,226,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,5.0,0.0,4.0,1.0
227,227,Defeat,Jinx,Flash,Cleanse,Lethal Tempo,Domination,1.0,7.0,2.0,1.0
228,228,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,8.0,8.0,11.0,1.0
229,229,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,2.0,4.0,1.0,1.0
230,230,Victory,Senna,Flash,Heal,Glacial Augment,Domination,5.0,5.0,14.0,1.0
231,231,Victory,Samira,Flash,Heal,Conqueror,Domination,4.0,2.0,2.0,1.0
232,232,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,7.0,4.0,3.0,1.0
233,233,Victory,Jhin,Flash,Cleanse,Fleet Footwork,Inspiration,6.0,2.0,13.0,1.0
234,234,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,0.0,4.0,2.0,1.0
235,235,Defeat,Senna,Flash,Heal,Glacial Augment,Precision,1.0,11.0,10.0,1.0
236,236,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,4.0,1.0,10.0,1.0
237,237,Victory,Jhin,Flash,Heal,Fleet Footwork,Inspiration,5.0,5.0,13.0,1.0
238,238,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,1.0,8.0,5.0,1.0
239,239,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,17.0,12.0,13.0,1.0
240,240,Victory,Samira,Flash,Heal,Conqueror,Domination,17.0,5.0,8.0,1.0
241,241,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,18.0,12.0,12.0,1.0
242,242,Defeat,Tristana,Flash,Cleanse,Hail of Blades,Precision,1.0,5.0,0.0,1.0
243,243,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,3.0,8.0,4.0,1.0
244,244,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Precision,3.0,4.0,4.0,1.0
245,245,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,1.0,7.0,4.0,1.0
246,246,Victory,Varus,Flash,Teleport,Arcane Comet,Inspiration,10.0,4.0,6.0,1.0
247,247,Defeat,Galio,Flash,Ignite,Aftershock,Sorcery,0.0,7.0,5.0,1.0
248,248,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,4.0,5.0,5.0,1.0
249,249,Defeat,Kai'Sa,Flash,Cleanse,Hail of Blades,Inspiration,2.0,8.0,11.0,1.0
250,250,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,4.0,0.0,4.0,1.0
251,251,Defeat,Tristana,Flash,Cleanse,Hail of Blades,Precision,2.0,10.0,1.0,1.0
252,252,Defeat,Varus,Flash,Heal,Arcane Comet,Inspiration,1.0,7.0,5.0,1.0
253,253,Victory,Jhin,Flash,Heal,Fleet Footwork,Inspiration,5.0,1.0,2.0,1.0
254,254,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,8.0,6.0,16.0,1.0
255,255,Defeat,Aphelios,Flash,Heal,Conqueror,Domination,4.0,5.0,0.0,1.0
256,256,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,8.0,8.0,6.0,1.0
257,257,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,4.0,2.0,3.0,1.0
258,258,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,4.0,6.0,11.0,1.0
259,259,Defeat,Samira,Flash,Heal,Conqueror,Domination,2.0,6.0,1.0,1.0
260,260,Victory,Nautilus,Flash,Ignite,Aftershock,Inspiration,1.0,7.0,14.0,1.0
261,261,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,9.0,2.0,13.0,1.0
262,262,Defeat,Xin Zhao,Flash,Smite,Phase Rush,Precision,2.0,5.0,0.0,1.0
263,263,Victory,Varus,Flash,Cleanse,Hail of Blades,Inspiration,6.0,5.0,8.0,1.0
264,264,Defeat,Varus,Flash,Teleport,Arcane Comet,Inspiration,7.0,5.0,7.0,1.0
265,265,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,3.0,3.0,5.0,1.0
266,266,Victory,Senna,Flash,Heal,Glacial Augment,Domination,2.0,2.0,7.0,1.0
267,267,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,11.0,4.0,6.0,1.0
268,268,Defeat,Samira,Flash,Heal,Conqueror,Domination,0.0,3.0,1.0,1.0
269,269,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,10.0,1.0,3.0,1.0
270,270,Victory,Varus,Flash,Heal,Arcane Comet,Inspiration,4.0,1.0,3.0,1.0
271,271,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,5.0,7.0,1.0,1.0
272,272,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,6.0,6.0,13.0,1.0
273,273,Defeat,Varus,Flash,Heal,Lethal Tempo,Inspiration,1.0,3.0,3.0,1.0
