,result,champion,d,f,mainRune,minorRune,kill,death,assist,player
48,Defeat,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,2,8,6,1
49,Defeat,Lucian,Flash,Heal,Press the Attack,Inspiration,1,6,2,1
50,Remake,Kog'Maw,Flash,Heal,Arcane Comet,Inspiration,0,0,0,1
51,Victory,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,9,5,10,1
52,Defeat,Diana,Flash,Smite,Conqueror,Domination,3,8,4,1
53,Victory,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,13,2,8,1
54,Victory,Kog'Maw,Flash,Heal,Arcane Comet,Inspiration,4,3,5,1
55,Victory,Kog'Maw,Flash,Cleanse,Lethal Tempo,Inspiration,10,4,5,1
56,Defeat,Varus,Flash,Cleanse,Hail of Blades,Inspiration,5,7,6,1
57,Victory,Syndra,Flash,Teleport,Phase Rush,Inspiration,4,2,5,1
58,Victory,Jinx,Flash,Cleanse,Lethal Tempo,Domination,5,3,8,1
59,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,4,5,5,1
60,Defeat,Samira,Flash,Heal,Conqueror,Domination,7,9,18,1
61,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,3,8,8,1
62,Defeat,Kayn,Flash,Smite,Conqueror,Domination,8,6,10,1
63,Victory,Vayne,Flash,Heal,Press the Attack,Domination,9,4,7,1
64,Defeat,Vayne,Flash,Cleanse,Press the Attack,Domination,3,9,7,1
65,Victory,Senna,Flash,Heal,Glacial Augment,Domination,4,2,14,1
66,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,3,9,3,1
67,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,0,2,0,1
68,Victory,Jinx,Flash,Heal,Conqueror,Domination,8,8,13,1
69,Defeat,Renekton,Flash,Teleport,Press the Attack,Resolve,3,10,0,1
70,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,4,7,5,1
71,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,2,2,11,1
72,Victory,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,2,5,12,1
73,Victory,Aatrox,Flash,Teleport,Conqueror,Resolve,3,5,13,1
74,Victory,Samira,Flash,Heal,Conqueror,Domination,9,4,8,1
75,Victory,Vayne,Flash,Heal,Press the Attack,Domination,8,4,10,1
76,Victory,Kalista,Flash,Heal,Hail of Blades,Inspiration,7,6,17,1
77,Defeat,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,1,5,7,1
78,Victory,Cho'Gath,Flash,Teleport,Grasp of the Undying,Inspiration,4,2,5,1
79,Defeat,Diana,Flash,Smite,Conqueror,Domination,3,5,6,1
80,Victory,Ezreal,Flash,Heal,Conqueror,Inspiration,5,4,7,1
81,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,6,12,11,1
82,Victory,Samira,Flash,Heal,Conqueror,Domination,13,3,12,1
83,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,9,2,12,1
84,Victory,Vayne,Flash,Heal,Press the Attack,Domination,8,7,9,1
85,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,6,3,3,1
86,Defeat,Diana,Flash,Smite,Conqueror,Domination,4,3,8,1
87,Defeat,Samira,Flash,Heal,Conqueror,Domination,5,7,7,1
88,Defeat,Darius,Ghost,Smite,Conqueror,Sorcery,4,6,3,1
89,Defeat,Samira,Flash,Heal,Conqueror,Domination,2,7,0,1
90,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,10,6,8,1
91,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,1,7,6,1
92,Victory,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,2,3,1,1
93,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,9,4,13,1
94,Victory,Vayne,Flash,Cleanse,Press the Attack,Domination,6,2,7,1
95,Victory,Samira,Flash,Heal,Conqueror,Domination,13,7,13,1
96,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,5,9,6,1
97,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,9,4,8,1
98,Victory,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,8,4,3,1
99,Victory,Jinx,Flash,Heal,Conqueror,Domination,16,3,6,1
100,Defeat,Samira,Flash,Heal,Conqueror,Domination,3,6,0,1
101,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,12,5,4,1
102,Victory,Jinx,Flash,Heal,Conqueror,Domination,11,0,2,1
103,Defeat,Ezreal,Flash,Heal,Conqueror,Inspiration,4,9,6,1
104,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,7,5,8,1
105,Defeat,Poppy,Flash,Smite,Hail of Blades,Sorcery,2,7,4,1
106,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,1,7,8,1
107,Defeat,Tristana,Flash,Cleanse,Hail of Blades,Precision,1,7,5,1
108,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,7,4,17,1
109,Victory,Samira,Flash,Heal,Conqueror,Domination,3,3,5,1
110,Defeat,Samira,Flash,Heal,Conqueror,Domination,1,13,2,1
111,Victory,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,2,3,11,1
112,Defeat,Samira,Flash,Heal,Conqueror,Domination,1,11,9,1
113,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,7,2,9,1
114,Victory,Aphelios,Flash,Heal,Lethal Tempo,Domination,4,7,8,1
115,Defeat,Samira,Flash,Heal,Conqueror,Domination,10,8,7,1
116,Defeat,Darius,Flash,Smite,Phase Rush,Precision,3,5,6,1
117,Defeat,Jinx,Flash,Cleanse,Lethal Tempo,Domination,0,8,6,1
118,Defeat,Samira,Flash,Heal,Conqueror,Domination,0,4,0,1
119,Defeat,Samira,Flash,Heal,Conqueror,Domination,2,9,3,1
120,Defeat,Kled,Flash,Teleport,Conqueror,Resolve,2,6,2,1
121,Victory,Kai'Sa,Flash,Cleanse,Hail of Blades,Inspiration,9,4,9,1
122,Defeat,Jinx,Flash,Cleanse,Lethal Tempo,Domination,3,7,3,1
123,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,6,1,1,1
124,Defeat,Aphelios,Flash,Heal,Conqueror,Domination,5,12,10,1
125,Victory,Darius,Ghost,Smite,Phase Rush,Precision,9,4,10,1
126,Defeat,Varus,Flash,Heal,Arcane Comet,Inspiration,1,5,1,1
127,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,10,2,7,1
128,Defeat,Samira,Flash,Heal,Conqueror,Domination,1,8,10,1
129,Victory,Samira,Flash,Heal,Conqueror,Domination,5,2,11,1
130,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,12,7,7,1
131,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,3,3,6,1
132,Victory,Samira,Flash,Heal,Conqueror,Domination,15,7,6,1
133,Defeat,Samira,Flash,Heal,Conqueror,Domination,5,6,6,1
134,Victory,Vayne,Flash,Cleanse,Press the Attack,Domination,9,3,7,1
135,Victory,Ezreal,Flash,Heal,Conqueror,Inspiration,7,6,9,1
136,Defeat,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,4,6,6,1
137,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,4,9,8,1
138,Defeat,Viego,Flash,Teleport,Conqueror,Domination,3,7,4,1
139,Defeat,Jinx,Flash,Cleanse,Lethal Tempo,Domination,1,8,3,1
140,Defeat,Renekton,Flash,Teleport,Conqueror,Resolve,2,9,1,1
141,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,5,7,6,1
142,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,0,9,3,1
143,Defeat,Jinx,Flash,Heal,Conqueror,Domination,1,4,4,1
144,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,9,2,12,1
145,Defeat,Yorick,Flash,Teleport,Conqueror,Resolve,9,7,7,1
146,Defeat,Viego,Flash,Ignite,Conqueror,Domination,16,9,2,1
147,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,11,5,7,1
148,Defeat,Samira,Flash,Heal,Conqueror,Domination,4,10,2,1
149,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,2,5,5,1
150,Defeat,Lucian,Flash,Cleanse,Press the Attack,Inspiration,7,9,4,1
151,Victory,Aphelios,Flash,Cleanse,Conqueror,Domination,4,5,14,1
152,Defeat,Kalista,Flash,Heal,Hail of Blades,Inspiration,7,12,11,1
153,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,11,1,7,1
154,Defeat,Jhin,Flash,Cleanse,Fleet Footwork,Sorcery,2,6,1,1
155,Defeat,Darius,Ghost,Smite,Conqueror,Sorcery,11,7,3,1
156,Victory,Samira,Flash,Heal,Conqueror,Domination,13,5,7,1
157,Victory,Kayn,Flash,Smite,Dark Harvest,Sorcery,14,7,7,1
158,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,7,9,9,1
159,Victory,Aphelios,Flash,Heal,Conqueror,Domination,7,0,10,1
160,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,4,5,1,1
161,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,11,2,7,1
162,Victory,Darius,Ghost,Smite,Conqueror,Sorcery,3,2,10,1
163,Victory,Senna,Flash,Heal,Glacial Augment,Domination,5,4,8,1
164,Defeat,Rumble,Flash,Smite,Dark Harvest,Sorcery,5,12,9,1
165,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,7,2,8,1
166,Defeat,Jinx,Flash,Cleanse,Lethal Tempo,Domination,1,6,4,1
167,Defeat,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,6,9,15,1
168,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,9,5,8,1
169,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,6,15,7,1
170,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,9,5,7,1
171,Victory,Darius,Ghost,Smite,Conqueror,Sorcery,5,3,8,1
172,Defeat,Jhin,Flash,Heal,Fleet Footwork,Inspiration,6,3,3,1
173,Victory,Ezreal,Flash,Heal,Conqueror,Inspiration,9,2,3,1
174,Victory,Ivern,Clarity,Heal,Summon Aery,Inspiration,2,7,38,1
175,Victory,Samira,Flash,Heal,Conqueror,Domination,11,4,11,1
176,Victory,Samira,Flash,Heal,Conqueror,Domination,6,2,3,1
177,Victory,Aatrox,Flash,Teleport,Conqueror,Resolve,3,6,12,1
178,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,6,1,9,1
179,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,5,11,9,1
180,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,8,7,5,1
181,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,15,2,13,1
182,Victory,Senna,Flash,Heal,Glacial Augment,Domination,3,7,19,1
183,Defeat,Jhin,Flash,Heal,Fleet Footwork,Inspiration,4,7,4,1
184,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,7,5,4,1
185,Victory,Aphelios,Flash,Heal,Conqueror,Domination,2,5,5,1
186,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,2,6,6,1
187,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,3,10,0,1
188,Defeat,Sivir,Flash,Heal,Lethal Tempo,Inspiration,0,5,6,1
189,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,3,5,6,1
190,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,4,8,6,1
191,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,2,7,4,1
192,Defeat,Gwen,Flash,Ignite,Conqueror,Domination,22,9,6,1
193,Victory,Gwen,Flash,Teleport,Conqueror,Inspiration,14,13,11,1
194,Victory,Samira,Flash,Heal,Conqueror,Domination,7,0,1,1
195,Victory,Samira,Flash,Heal,Conqueror,Domination,5,4,10,1
196,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,9,7,9,1
197,Defeat,Vayne,Flash,Heal,Press the Attack,Domination,0,1,0,1
198,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,2,5,2,1
199,Victory,Samira,Flash,Heal,Conqueror,Domination,13,1,5,1
200,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,8,10,12,1
201,Defeat,Samira,Flash,Cleanse,Conqueror,Domination,4,6,3,1
202,Victory,Samira,Flash,Heal,Conqueror,Domination,1,2,6,1
203,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,19,2,11,1
204,Victory,Jinx,Flash,Cleanse,Lethal Tempo,Domination,6,3,3,1
205,Victory,Samira,Flash,Heal,Conqueror,Domination,10,5,10,1
206,Victory,Senna,Flash,Heal,Glacial Augment,Domination,6,2,7,1
207,Victory,Senna,Flash,Heal,Glacial Augment,Domination,7,3,14,1
208,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,7,0,10,1
209,Defeat,Varus,Flash,Heal,Hail of Blades,Sorcery,1,8,2,1
210,Victory,Senna,Flash,Heal,Glacial Augment,Domination,8,4,12,1
211,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,8,6,7,1
212,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,7,7,6,1
213,Defeat,Samira,Flash,Heal,Conqueror,Domination,3,8,2,1
214,Victory,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,1,8,13,1
215,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,2,9,5,1
216,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,11,6,5,1
217,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,9,0,3,1
218,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,8,5,3,1
219,Victory,Kai'Sa,Flash,Cleanse,Hail of Blades,Inspiration,16,4,9,1
220,Defeat,Aphelios,Flash,Heal,Conqueror,Domination,5,8,3,1
221,Defeat,Jinx,Flash,Heal,Conqueror,Inspiration,3,9,6,1
222,Victory,Twitch,Flash,Ignite,Hail of Blades,Precision,1,8,11,1
223,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,5,3,5,1
224,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,13,3,6,1
225,Victory,Aphelios,Flash,Heal,Conqueror,Domination,6,3,6,1
226,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,5,0,4,1
227,Defeat,Jinx,Flash,Cleanse,Lethal Tempo,Domination,1,7,2,1
228,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,8,8,11,1
229,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,2,4,1,1
230,Victory,Senna,Flash,Heal,Glacial Augment,Domination,5,5,14,1
231,Victory,Samira,Flash,Heal,Conqueror,Domination,4,2,2,1
232,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,7,4,3,1
233,Victory,Jhin,Flash,Cleanse,Fleet Footwork,Inspiration,6,2,13,1
234,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,0,4,2,1
235,Defeat,Senna,Flash,Heal,Glacial Augment,Precision,1,11,10,1
236,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,4,1,10,1
237,Victory,Jhin,Flash,Heal,Fleet Footwork,Inspiration,5,5,13,1
238,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,1,8,5,1
239,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,17,12,13,1
240,Victory,Samira,Flash,Heal,Conqueror,Domination,17,5,8,1
241,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,18,12,12,1
242,Defeat,Tristana,Flash,Cleanse,Hail of Blades,Precision,1,5,0,1
243,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,3,8,4,1
244,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Precision,3,4,4,1
245,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,1,7,4,1
246,Victory,Varus,Flash,Teleport,Arcane Comet,Inspiration,10,4,6,1
247,Defeat,Galio,Flash,Ignite,Aftershock,Sorcery,0,7,5,1
248,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,4,5,5,1
249,Defeat,Kai'Sa,Flash,Cleanse,Hail of Blades,Inspiration,2,8,11,1
250,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,4,0,4,1
251,Defeat,Tristana,Flash,Cleanse,Hail of Blades,Precision,2,10,1,1
252,Defeat,Varus,Flash,Heal,Arcane Comet,Inspiration,1,7,5,1
253,Victory,Jhin,Flash,Heal,Fleet Footwork,Inspiration,5,1,2,1
254,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,8,6,16,1
255,Defeat,Aphelios,Flash,Heal,Conqueror,Domination,4,5,0,1
256,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,8,8,6,1
257,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,4,2,3,1
258,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,4,6,11,1
259,Defeat,Samira,Flash,Heal,Conqueror,Domination,2,6,1,1
260,Victory,Nautilus,Flash,Ignite,Aftershock,Inspiration,1,7,14,1
261,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,9,2,13,1
262,Defeat,Xin Zhao,Flash,Smite,Phase Rush,Precision,2,5,0,1
263,Victory,Varus,Flash,Cleanse,Hail of Blades,Inspiration,6,5,8,1
264,Defeat,Varus,Flash,Teleport,Arcane Comet,Inspiration,7,5,7,1
265,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,3,3,5,1
266,Victory,Senna,Flash,Heal,Glacial Augment,Domination,2,2,7,1
267,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,11,4,6,1
268,Defeat,Samira,Flash,Heal,Conqueror,Domination,0,3,1,1
269,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,10,1,3,1
270,Victory,Varus,Flash,Heal,Arcane Comet,Inspiration,4,1,3,1
271,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,5,7,1,1
272,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,6,6,13,1
273,Defeat,Varus,Flash,Heal,Lethal Tempo,Inspiration,1,3,3,1
274,Victory,Rell,Flash,Ignite,Aftershock,Inspiration,2,6,16,1
275,Victory,Senna,Flash,Heal,Glacial Augment,Domination,10,5,8,1
276,Victory,Senna,Flash,Heal,Glacial Augment,Domination,1,1,11,1
277,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,11,5,16,1
278,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,6,2,8,1
279,Victory,Jinx,Flash,Heal,Conqueror,Domination,7,1,7,1
280,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,1,5,2,1
281,Victory,Jinx,Flash,Cleanse,Lethal Tempo,Domination,10,7,14,1
282,Defeat,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,4,10,3,1
283,Defeat,Gnar,Flash,Teleport,Grasp of the Undying,Domination,0,7,9,1
284,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,5,8,2,1
285,Victory,Senna,Flash,Heal,Glacial Augment,Domination,3,2,5,1
286,Victory,Varus,Flash,Heal,Lethal Tempo,Domination,7,9,10,1
287,Defeat,Samira,Flash,Heal,Conqueror,Domination,5,10,4,1
288,Defeat,Jinx,Flash,Heal,Conqueror,Domination,0,6,1,1
289,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,19,2,6,1
290,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,6,1,5,1
291,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,8,0,6,1
292,Defeat,Tristana,Flash,Heal,Hail of Blades,Precision,1,5,3,1
293,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,12,4,8,1
294,Victory,Samira,Flash,Heal,Conqueror,Domination,14,2,6,1
295,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,7,6,9,1
296,Victory,Jinx,Flash,Heal,Conqueror,Domination,13,3,4,1
297,Victory,Varus,Flash,Cleanse,Lethal Tempo,Inspiration,18,6,9,1
298,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Precision,12,7,13,1
299,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,7,16,6,1
300,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,6,7,3,1
301,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,9,2,8,1
302,Defeat,Samira,Flash,Heal,Conqueror,Domination,0,13,1,1
303,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,11,3,6,1
304,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,10,8,6,1
305,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,16,9,15,1
306,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,2,3,2,1
307,Victory,Varus,Flash,Heal,Lethal Tempo,Inspiration,16,9,14,1
308,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,4,4,5,1
309,Defeat,Varus,Flash,Heal,Lethal Tempo,Inspiration,0,0,0,1
310,Defeat,Ezreal,Flash,Heal,Conqueror,Inspiration,0,7,3,1
311,Defeat,Varus,Flash,Heal,Arcane Comet,Inspiration,4,5,2,1
312,Victory,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,2,2,5,1
313,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,5,6,3,1
314,Defeat,Varus,Flash,Heal,Arcane Comet,Inspiration,1,7,3,1
315,Defeat,Tristana,Flash,Cleanse,Hail of Blades,Precision,5,7,7,1
316,Victory,Cho'Gath,Flash,Teleport,Grasp of the Undying,Inspiration,2,6,8,1
317,Defeat,Varus,Flash,Heal,Arcane Comet,Inspiration,2,9,9,1
318,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Precision,2,0,3,1
319,Defeat,Vi,Flash,Smite,Conqueror,Domination,0,3,2,1
320,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,13,6,5,1
321,Defeat,Tristana,Flash,Cleanse,Hail of Blades,Precision,2,8,2,1
322,Defeat,Graves,Flash,Smite,Phase Rush,Precision,5,1,1,1
323,Defeat,Draven,Flash,Exhaust,Hail of Blades,Inspiration,0,3,0,1
324,Defeat,Samira,Flash,Heal,Conqueror,Domination,4,4,2,1
325,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,5,2,13,1
326,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,6,1,3,1
327,Victory,Kai'Sa,Flash,Cleanse,Hail of Blades,Inspiration,13,4,3,1
328,Defeat,Tristana,Flash,Cleanse,Hail of Blades,Precision,1,5,1,1
329,Victory,Senna,Flash,Heal,Glacial Augment,Domination,7,7,11,1
330,Defeat,Viego,Flash,Teleport,Conqueror,Domination,1,6,1,1
331,Victory,Samira,Flash,Heal,Conqueror,Domination,10,12,10,1
332,Defeat,Kai'Sa,Flash,Exhaust,Hail of Blades,Inspiration,2,5,3,1
333,Defeat,Jinx,Flash,Cleanse,Lethal Tempo,Domination,7,6,7,1
334,Victory,Varus,Flash,Cleanse,Arcane Comet,Inspiration,3,1,7,1
335,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,4,1,2,1
336,Defeat,Tristana,Flash,Cleanse,Hail of Blades,Precision,4,7,3,1
337,Victory,Aphelios,Flash,Cleanse,Conqueror,Domination,6,1,7,1
338,Defeat,Jinx,Flash,Exhaust,Conqueror,Domination,0,4,1,1
339,Defeat,Jinx,Flash,Cleanse,Lethal Tempo,Inspiration,0,8,0,1
340,Defeat,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,5,8,12,1
341,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,5,0,7,1
